angle,dx,dy,true_dx,true_dy,response,contrast,entropy,gradient_energy,mean_brightness,sharpness,snr,median_brightness,psnr,ssim,ms_ssim,vif,fsim,deviation_dx,deviation_dy
2.0,-0.767,0.498,0.0,0.0,0.59,0.084,6.272,0.002,0.685,763.958,18.188,0.686,21.653,0.274,0.649,0.067,0.747,0.767,-0.498
2.05,-0.799,0.51,0.0,0.0,0.581,0.085,6.271,0.002,0.684,761.576,18.157,0.686,21.606,0.271,0.643,0.065,0.744,0.799,-0.51
2.1,-0.821,0.536,0.0,0.0,0.57,0.085,6.271,0.002,0.683,768.477,18.106,0.686,21.54,0.267,0.637,0.063,0.744,0.821,-0.536
2.15,-0.842,0.554,0.0,0.0,0.557,0.085,6.27,0.002,0.683,764.655,18.108,0.686,21.504,0.265,0.631,0.061,0.743,0.842,-0.554
2.2,-1.082,-0.513,0.0,0.0,0.514,0.085,6.269,0.002,0.68,766.022,18.015,0.682,21.431,0.262,0.626,0.059,0.741,1.082,0.513
2.25,-1.093,-0.526,0.0,0.0,0.506,0.086,6.271,0.002,0.679,775.427,17.951,0.682,21.362,0.259,0.621,0.058,0.74,1.093,0.526
2.3,-1.122,-0.524,0.0,0.0,0.496,0.086,6.271,0.002,0.68,774.944,18.001,0.682,21.347,0.257,0.617,0.056,0.739,1.122,0.524
2.35,-1.168,-0.531,0.0,0.0,0.49,0.086,6.273,0.002,0.68,786.472,17.989,0.682,21.3,0.254,0.612,0.055,0.738,1.168,0.531
2.4,-1.184,-0.556,0.0,0.0,0.48,0.085,6.272,0.002,0.684,766.491,18.13,0.686,21.324,0.254,0.609,0.054,0.736,1.184,0.556
2.45,-1.219,-0.565,0.0,0.0,0.469,0.085,6.272,0.002,0.684,762.486,18.129,0.686,21.292,0.252,0.605,0.053,0.735,1.219,0.565
2.5,-1.219,-0.563,0.0,0.0,0.458,0.085,6.271,0.002,0.685,759.458,18.159,0.686,21.268,0.251,0.6,0.051,0.734,1.219,0.563
2.55,-1.263,-0.572,0.0,0.0,0.448,0.084,6.271,0.002,0.688,732.251,18.276,0.69,21.27,0.25,0.597,0.05,0.732,1.263,0.572
2.6,-1.245,-0.579,0.0,0.0,0.441,0.085,6.271,0.002,0.682,764.117,18.075,0.686,21.168,0.247,0.591,0.049,0.732,1.245,0.579
2.65,-1.266,-0.582,0.0,0.0,0.427,0.086,6.272,0.002,0.681,774.652,18.017,0.682,21.114,0.245,0.588,0.048,0.731,1.266,0.582
2.7,-1.275,-0.598,0.0,0.0,0.421,0.086,6.274,0.002,0.68,781.97,17.965,0.682,21.061,0.244,0.584,0.047,0.729,1.275,0.598
2.75,-1.275,-0.615,0.0,0.0,0.408,0.085,6.275,0.002,0.682,775.996,18.058,0.686,21.063,0.243,0.58,0.046,0.728,1.275,0.615
2.8,-1.257,-0.641,0.0,0.0,0.403,0.085,6.275,0.002,0.682,774.255,18.056,0.686,21.035,0.242,0.577,0.045,0.728,1.257,0.641
2.85,-1.26,-0.644,0.0,0.0,0.394,0.085,6.275,0.002,0.682,772.278,18.053,0.686,21.004,0.24,0.573,0.044,0.727,1.26,0.644
2.9,-1.263,-0.668,0.0,0.0,0.384,0.085,6.274,0.002,0.682,769.551,18.048,0.686,20.977,0.24,0.57,0.043,0.726,1.263,0.668
2.95,-1.269,-0.671,0.0,0.0,0.374,0.085,6.275,0.002,0.682,770.326,18.044,0.686,20.947,0.239,0.566,0.042,0.726,1.269,0.671
3.0,-1.247,-0.683,0.0,0.0,0.368,0.084,6.275,0.002,0.686,756.633,18.208,0.69,20.97,0.24,0.565,0.042,0.725,1.247,0.683
-3.0,-1.027,1.696,0.0,0.0,0.255,0.111,6.526,0.005,0.63,966.31,15.046,0.631,18.125,0.13,0.4,0.031,0.689,1.027,-1.696
-2.95,-0.981,1.645,0.0,0.0,0.266,0.11,6.526,0.005,0.639,936.688,15.303,0.643,18.168,0.133,0.407,0.031,0.69,0.981,-1.645
-2.9,-1.069,1.621,0.0,0.0,0.273,0.108,6.526,0.005,0.642,901.501,15.496,0.643,18.257,0.137,0.414,0.032,0.691,1.069,-1.621
-2.85,-1.032,1.583,0.0,0.0,0.281,0.106,6.526,0.005,0.646,880.718,15.676,0.647,18.287,0.14,0.42,0.033,0.692,1.032,-1.583
-2.8,-1.051,1.639,0.0,0.0,0.295,0.11,6.526,0.005,0.635,942.928,15.238,0.635,18.258,0.14,0.421,0.034,0.692,1.051,-1.639
-2.75,-1.13,1.545,0.0,0.0,0.297,0.111,6.527,0.005,0.63,971.056,15.048,0.631,18.233,0.141,0.425,0.034,0.693,1.13,-1.545
-2.7,-1.112,1.563,0.0,0.0,0.296,0.116,6.526,0.006,0.62,1047.639,14.579,0.624,18.062,0.14,0.425,0.034,0.693,1.112,-1.563
-2.65,-1.104,1.53,0.0,0.0,0.3,0.112,6.526,0.005,0.628,976.042,14.985,0.631,18.262,0.146,0.434,0.036,0.694,1.104,-1.53
-2.6,-1.09,1.53,0.0,0.0,0.312,0.116,6.525,0.006,0.615,1042.827,14.515,0.62,18.086,0.145,0.434,0.036,0.694,1.09,-1.53
-2.55,-0.908,0.865,0.0,0.0,0.366,0.115,6.525,0.006,0.617,1032.824,14.582,0.62,18.145,0.149,0.44,0.037,0.695,0.908,-0.865
-2.5,-0.891,0.824,0.0,0.0,0.376,0.112,6.526,0.005,0.623,977.556,14.918,0.627,18.329,0.154,0.449,0.039,0.697,0.891,-0.824
-2.45,-1.054,1.438,0.0,0.0,0.331,0.111,6.527,0.005,0.631,965.441,15.107,0.635,18.391,0.157,0.455,0.04,0.698,1.054,-1.438
-2.4,-0.919,0.828,0.0,0.0,0.394,0.115,6.528,0.006,0.624,1033.465,14.711,0.627,18.261,0.157,0.457,0.041,0.698,0.919,-0.828
-2.35,-0.854,0.798,0.0,0.0,0.395,0.116,6.527,0.006,0.618,1062.69,14.509,0.62,18.196,0.159,0.461,0.041,0.698,0.854,-0.798
-2.3,-0.828,0.783,0.0,0.0,0.403,0.116,6.525,0.006,0.618,1055.052,14.517,0.62,18.229,0.162,0.466,0.043,0.699,0.828,-0.783
-2.25,-0.801,0.762,0.0,0.0,0.409,0.116,6.524,0.006,0.613,1043.963,14.457,0.616,18.233,0.165,0.471,0.044,0.7,0.801,-0.762
-2.2,-0.78,0.772,0.0,0.0,0.418,0.117,6.524,0.006,0.61,1062.819,14.319,0.612,18.18,0.167,0.477,0.045,0.701,0.78,-0.772
-2.15,-0.759,0.744,0.0,0.0,0.417,0.118,6.525,0.006,0.608,1081.02,14.238,0.612,18.155,0.169,0.482,0.046,0.702,0.759,-0.744
-2.1,-0.75,0.77,0.0,0.0,0.427,0.116,6.526,0.006,0.613,1054.222,14.446,0.616,18.302,0.173,0.489,0.048,0.704,0.75,-0.77
-2.05,-0.76,0.777,0.0,0.0,0.437,0.115,6.527,0.006,0.624,1029.641,14.715,0.627,18.448,0.177,0.497,0.05,0.706,0.76,-0.777
-2.0,-0.782,0.76,0.0,0.0,0.452,0.114,6.528,0.006,0.616,1027.635,14.639,0.62,18.458,0.181,0.504,0.052,0.708,0.782,-0.76
-1.95,-0.763,0.742,0.0,0.0,0.461,0.116,6.527,0.006,0.604,1069.779,14.292,0.608,18.262,0.182,0.508,0.053,0.709,0.763,-0.742
-1.9,-0.792,0.741,0.0,0.0,0.472,0.12,6.524,0.006,0.595,1134.243,13.87,0.596,17.986,0.182,0.51,0.054,0.71,0.792,-0.741
-1.85,-0.793,0.711,0.0,0.0,0.484,0.12,6.523,0.006,0.602,1112.19,14.028,0.604,18.16,0.186,0.517,0.056,0.712,0.793,-0.711
-1.8,-0.78,0.691,0.0,0.0,0.497,0.118,6.523,0.006,0.608,1071.403,14.25,0.612,18.345,0.19,0.526,0.059,0.715,0.78,-0.691
-1.75,-0.756,0.658,0.0,0.0,0.507,0.114,6.524,0.006,0.614,1011.459,14.6,0.616,18.58,0.196,0.537,0.061,0.717,0.756,-0.658
-1.7,-0.765,0.626,0.0,0.0,0.522,0.111,6.525,0.005,0.632,954.146,15.121,0.635,18.803,0.201,0.547,0.065,0.72,0.765,-0.626
-1.65,-0.786,0.643,0.0,0.0,0.537,0.112,6.526,0.005,0.633,974.983,15.057,0.635,18.782,0.204,0.554,0.067,0.722,0.786,-0.643
-1.6,-0.725,0.596,0.0,0.0,0.55,0.113,6.527,0.005,0.629,999.003,14.921,0.631,18.772,0.208,0.561,0.07,0.724,0.725,-0.596
-1.55,-0.707,0.579,0.0,0.0,0.564,0.115,6.526,0.006,0.622,1031.8,14.656,0.624,18.706,0.21,0.568,0.072,0.727,0.707,-0.579
-1.5,-0.697,0.547,0.0,0.0,0.577,0.117,6.524,0.006,0.615,1063.972,14.392,0.616,18.613,0.214,0.575,0.075,0.73,0.697,-0.547
-1.45,-0.702,0.523,0.0,0.0,0.596,0.118,6.523,0.006,0.608,1072.401,14.251,0.612,18.558,0.219,0.584,0.078,0.733,0.702,-0.523
-1.4,-0.677,0.459,0.0,0.0,0.608,0.117,6.524,0.006,0.612,1057.879,14.387,0.616,18.687,0.226,0.596,0.082,0.736,0.677,-0.459
-1.35,-0.617,0.448,0.0,0.0,0.617,0.114,6.525,0.006,0.616,1014.795,14.657,0.62,18.888,0.236,0.61,0.087,0.741,0.617,-0.448
-1.3,-0.641,-0.056,0.0,0.0,0.707,0.112,6.526,0.005,0.628,984.561,14.985,0.631,19.069,0.246,0.624,0.092,0.744,0.641,0.056
-1.25,-0.589,-0.055,0.0,0.0,0.723,0.11,6.526,0.005,0.635,949.118,15.24,0.635,19.198,0.258,0.638,0.097,0.748,0.589,0.055
-1.2,-0.547,-0.047,0.0,0.0,0.744,0.109,6.525,0.005,0.638,923.859,15.377,0.639,19.302,0.271,0.653,0.103,0.752,0.547,0.047
-1.15,-0.509,-0.039,0.0,0.0,0.763,0.113,6.523,0.005,0.623,987.703,14.811,0.624,19.257,0.282,0.663,0.107,0.757,0.509,0.039
-1.1,-0.476,-0.037,0.0,0.0,0.781,0.115,6.519,0.006,0.615,1012.983,14.557,0.62,19.24,0.297,0.676,0.112,0.761,0.476,0.037
-1.05,-0.085,0.013,0.0,0.0,0.91,0.118,6.519,0.006,0.611,1068.288,14.274,0.612,19.176,0.313,0.689,0.118,0.765,0.085,-0.013
-1.0,-0.074,0.021,0.0,0.0,0.926,0.115,6.522,0.006,0.616,1033.959,14.537,0.62,19.46,0.336,0.708,0.126,0.77,0.074,-0.021
-0.95,-0.073,0.024,0.0,0.0,0.923,0.112,6.525,0.005,0.628,985.835,14.99,0.631,19.808,0.362,0.728,0.136,0.776,0.073,-0.024
-0.9,-0.06,0.028,0.0,0.0,0.929,0.106,6.529,0.005,0.615,904.457,15.236,0.616,20.143,0.391,0.75,0.148,0.781,0.06,-0.028
-0.85,-0.073,0.022,0.0,0.0,0.933,0.109,6.53,0.005,0.643,949.494,15.42,0.647,20.192,0.42,0.768,0.157,0.787,0.073,-0.022
-0.8,-0.047,0.031,0.0,0.0,0.937,0.107,6.526,0.005,0.648,907.044,15.621,0.651,20.441,0.455,0.789,0.17,0.793,0.047,-0.031
-0.75,-0.046,0.031,0.0,0.0,0.936,0.109,6.519,0.005,0.637,908.06,15.35,0.639,20.891,0.493,0.808,0.182,0.801,0.046,-0.031
-0.7,-0.048,0.034,0.0,0.0,0.941,0.111,6.514,0.005,0.628,928.262,15.057,0.631,21.237,0.532,0.827,0.195,0.808,0.048,-0.034
-0.65,-0.038,0.028,0.0,0.0,0.943,0.113,6.514,0.005,0.616,967.811,14.717,0.62,21.474,0.572,0.844,0.209,0.817,0.038,-0.028
-0.6,-0.036,0.044,0.0,0.0,0.937,0.114,6.517,0.005,0.621,987.521,14.762,0.624,21.938,0.614,0.862,0.227,0.826,0.036,-0.044
-0.55,-0.036,0.047,0.0,0.0,0.936,0.111,6.525,0.005,0.625,978.588,14.991,0.627,22.516,0.655,0.881,0.249,0.836,0.036,-0.047
-0.5,-0.03,0.04,0.0,0.0,0.935,0.108,6.533,0.005,0.637,954.36,15.393,0.639,23.05,0.695,0.899,0.275,0.847,0.03,-0.04
-0.45,-0.024,0.048,0.0,0.0,0.935,0.104,6.537,0.005,0.63,894.641,15.621,0.631,23.887,0.736,0.915,0.307,0.858,0.024,-0.048
-0.4,-0.036,0.046,0.0,0.0,0.919,0.105,6.533,0.005,0.647,893.621,15.767,0.647,24.15,0.778,0.931,0.339,0.873,0.036,-0.046
-0.35,-0.012,0.034,0.0,0.0,0.918,0.107,6.519,0.005,0.637,873.495,15.482,0.639,25.45,0.823,0.946,0.376,0.889,0.012,-0.034
-0.3,0.01,0.02,0.0,0.0,0.913,0.11,6.511,0.005,0.627,885.782,15.139,0.627,26.758,0.866,0.958,0.417,0.908,-0.01,-0.02
-0.25,0.003,0.028,0.0,0.0,0.913,0.113,6.512,0.005,0.621,939.347,14.808,0.624,27.941,0.904,0.968,0.464,0.926,-0.003,-0.028
-0.2,-0.004,0.025,0.0,0.0,0.915,0.112,6.52,0.005,0.62,966.778,14.828,0.624,29.633,0.936,0.979,0.526,0.946,0.004,-0.025
-0.15,0.006,0.011,0.0,0.0,0.926,0.11,6.537,0.005,0.632,985.211,15.194,0.635,32.086,0.962,0.988,0.605,0.965,-0.006,-0.011
-0.1,0.01,0.01,0.0,0.0,0.94,0.111,6.561,0.006,0.636,1091.918,15.189,0.639,34.199,0.981,0.994,0.692,0.981,-0.01,-0.01
-0.05,0.011,0.007,0.0,0.0,0.957,0.11,6.592,0.006,0.645,1200.338,15.374,0.651,33.411,0.992,0.998,0.802,0.993,-0.011,-0.007
0.0,-0.0,-0.0,0.0,0.0,1.0,0.107,6.63,0.006,0.627,1270.044,15.394,0.631,100.0,1.0,1.0,1.0,1.0,0.0,0.0
0.05,0.001,-0.003,0.0,0.0,0.958,0.109,6.593,0.006,0.643,1190.186,15.374,0.647,34.477,0.992,0.998,0.803,0.993,-0.001,0.003
0.1,-0.002,-0.009,0.0,0.0,0.938,0.111,6.561,0.006,0.634,1103.503,15.124,0.639,34.413,0.98,0.993,0.69,0.981,0.002,0.009
0.15,0.004,-0.016,0.0,0.0,0.93,0.113,6.536,0.006,0.622,1044.808,14.807,0.624,31.786,0.962,0.986,0.598,0.964,-0.004,0.016
0.2,0.021,-0.02,0.0,0.0,0.918,0.114,6.52,0.005,0.616,986.013,14.698,0.62,29.3,0.936,0.978,0.525,0.944,-0.021,0.02
0.25,0.026,-0.02,0.0,0.0,0.914,0.111,6.511,0.005,0.622,914.86,14.949,0.624,28.066,0.904,0.969,0.467,0.925,-0.026,0.02
0.3,0.025,-0.021,0.0,0.0,0.908,0.109,6.511,0.005,0.629,879.084,15.211,0.631,26.772,0.866,0.959,0.418,0.906,-0.025,0.021
0.35,0.019,-0.022,0.0,0.0,0.907,0.109,6.518,0.005,0.631,908.42,15.237,0.631,25.498,0.823,0.945,0.373,0.889,-0.019,0.022
0.4,0.02,-0.026,0.0,0.0,0.918,0.106,6.532,0.005,0.644,913.151,15.656,0.647,24.228,0.778,0.931,0.338,0.872,-0.02,0.026
0.45,0.026,-0.022,0.0,0.0,0.928,0.106,6.536,0.005,0.619,930.425,15.318,0.62,23.747,0.736,0.915,0.305,0.858,-0.026,0.022
0.5,0.041,-0.04,0.0,0.0,0.929,0.113,6.531,0.006,0.627,1040.409,14.89,0.627,22.922,0.694,0.896,0.27,0.846,-0.041,0.04
0.55,0.043,-0.038,0.0,0.0,0.936,0.114,6.523,0.006,0.616,1024.423,14.669,0.62,22.299,0.654,0.878,0.246,0.835,-0.043,0.038
0.6,0.071,-0.032,0.0,0.0,0.935,0.115,6.515,0.006,0.611,1017.426,14.501,0.612,21.701,0.612,0.86,0.226,0.825,-0.071,0.032
0.65,0.061,-0.042,0.0,0.0,0.934,0.116,6.511,0.006,0.607,1017.608,14.382,0.608,21.169,0.571,0.841,0.207,0.815,-0.061,0.042
0.7,0.051,-0.048,0.0,0.0,0.931,0.114,6.511,0.005,0.615,974.241,14.669,0.616,21.026,0.531,0.824,0.193,0.807,-0.051,0.048
0.75,0.076,-0.032,0.0,0.0,0.931,0.111,6.516,0.005,0.614,948.371,14.848,0.616,20.743,0.492,0.806,0.181,0.8,-0.076,0.032
0.8,0.064,-0.032,0.0,0.0,0.935,0.11,6.524,0.005,0.626,949.322,15.137,0.627,20.544,0.454,0.787,0.169,0.793,-0.064,0.032
0.85,0.04,-0.058,0.0,0.0,0.927,0.112,6.526,0.005,0.628,1002.255,14.991,0.631,20.17,0.418,0.765,0.155,0.787,-0.04,0.058
0.9,0.053,-0.035,0.0,0.0,0.926,0.113,6.526,0.006,0.601,1019.292,14.525,0.604,19.639,0.388,0.745,0.144,0.781,-0.053,0.035
0.95,0.059,-0.036,0.0,0.0,0.92,0.117,6.523,0.006,0.607,1079.367,14.322,0.608,19.424,0.359,0.723,0.134,0.775,-0.059,0.036
1.0,0.062,-0.02,0.0,0.0,0.907,0.121,6.519,0.006,0.588,1132.714,13.76,0.588,18.735,0.332,0.701,0.124,0.768,-0.062,0.02
1.05,0.085,-0.028,0.0,0.0,0.898,0.118,6.516,0.006,0.596,1068.657,14.075,0.596,18.924,0.313,0.688,0.118,0.764,-0.085,0.028
1.1,0.446,0.013,0.0,0.0,0.778,0.116,6.517,0.006,0.604,1025.104,14.363,0.608,19.06,0.296,0.675,0.112,0.76,-0.446,-0.013
1.15,0.496,0.024,0.0,0.0,0.753,0.115,6.52,0.006,0.611,1033.075,14.483,0.612,19.058,0.28,0.66,0.106,0.755,-0.496,-0.024
1.2,0.466,-0.337,0.0,0.0,0.68,0.114,6.523,0.006,0.621,1021.597,14.741,0.624,19.102,0.267,0.648,0.101,0.75,-0.466,0.337
1.25,0.563,0.028,0.0,0.0,0.723,0.114,6.525,0.006,0.619,1041.118,14.665,0.62,18.982,0.254,0.633,0.096,0.747,-0.563,-0.028
1.3,0.558,-0.434,0.0,0.0,0.638,0.117,6.525,0.006,0.607,1080.751,14.316,0.608,18.707,0.242,0.618,0.09,0.742,-0.558,0.434
1.35,0.575,-0.419,0.0,0.0,0.619,0.116,6.523,0.006,0.589,1061.22,14.11,0.592,18.369,0.233,0.606,0.086,0.739,-0.575,0.419
1.4,0.62,-0.471,0.0,0.0,0.606,0.119,6.521,0.006,0.602,1117.473,14.049,0.604,18.431,0.223,0.591,0.081,0.735,-0.62,0.471
1.45,0.627,-0.49,0.0,0.0,0.585,0.117,6.52,0.006,0.605,1063.184,14.276,0.608,18.542,0.219,0.583,0.078,0.732,-0.627,0.49
1.5,0.657,-0.543,0.0,0.0,0.569,0.117,6.52,0.006,0.61,1062.263,14.348,0.612,18.565,0.213,0.573,0.075,0.729,-0.657,0.543
1.55,0.678,-0.57,0.0,0.0,0.553,0.117,6.522,0.006,0.612,1064.811,14.406,0.616,18.563,0.208,0.565,0.072,0.726,-0.678,0.57
1.6,0.712,-0.611,0.0,0.0,0.536,0.114,6.523,0.006,0.621,1014.749,14.752,0.624,18.713,0.206,0.559,0.07,0.723,-0.712,0.611
1.65,0.699,-0.627,0.0,0.0,0.529,0.113,6.522,0.005,0.625,993.251,14.891,0.627,18.743,0.203,0.552,0.067,0.721,-0.699,0.627
1.7,0.729,-0.62,0.0,0.0,0.512,0.113,6.52,0.005,0.623,999.945,14.832,0.624,18.692,0.199,0.543,0.064,0.719,-0.729,0.62
1.75,0.743,-0.613,0.0,0.0,0.499,0.115,6.519,0.006,0.616,1031.139,14.568,0.62,18.543,0.194,0.534,0.061,0.716,-0.743,0.613
1.8,0.782,-0.657,0.0,0.0,0.483,0.115,6.518,0.006,0.596,1036.512,14.29,0.596,18.27,0.191,0.526,0.059,0.714,-0.782,0.657
1.85,0.804,-0.672,0.0,0.0,0.479,0.116,6.518,0.006,0.602,1065.59,14.28,0.604,18.285,0.187,0.517,0.057,0.711,-0.804,0.672
1.9,0.786,-0.699,0.0,0.0,0.456,0.115,6.52,0.006,0.606,1057.491,14.413,0.608,18.35,0.185,0.512,0.055,0.709,-0.786,0.699
1.95,0.793,-0.677,0.0,0.0,0.447,0.113,6.522,0.006,0.62,1016.565,14.818,0.624,18.55,0.185,0.509,0.054,0.708,-0.793,0.677
2.0,0.818,-0.753,0.0,0.0,0.436,0.111,6.522,0.005,0.621,984.895,14.952,0.624,18.593,0.183,0.504,0.052,0.706,-0.818,0.753
2.05,0.82,-0.738,0.0,0.0,0.43,0.111,6.52,0.005,0.624,983.911,14.961,0.627,18.563,0.18,0.497,0.051,0.705,-0.82,0.738
2.1,0.807,-0.758,0.0,0.0,0.42,0.116,6.519,0.006,0.614,1051.732,14.498,0.616,18.312,0.174,0.486,0.048,0.703,-0.807,0.758
2.15,0.81,-0.757,0.0,0.0,0.412,0.118,6.517,0.006,0.599,1094.929,14.08,0.6,18.004,0.169,0.477,0.046,0.7,-0.81,0.757
2.2,0.836,-0.778,0.0,0.0,0.399,0.12,6.516,0.006,0.595,1108.919,13.942,0.596,17.868,0.165,0.47,0.045,0.699,-0.836,0.778
2.25,0.827,-0.762,0.0,0.0,0.394,0.116,6.516,0.006,0.597,1048.536,14.228,0.6,18.015,0.164,0.468,0.044,0.699,-0.827,0.762
2.3,0.801,-0.806,0.0,0.0,0.394,0.114,6.519,0.006,0.608,1029.13,14.503,0.608,18.197,0.163,0.465,0.043,0.699,-0.801,0.806
2.35,0.42,-1.384,0.0,0.0,0.377,0.113,6.52,0.006,0.622,1019.812,14.771,0.624,18.305,0.161,0.46,0.042,0.698,-0.42,1.384
2.4,0.821,-0.825,0.0,0.0,0.379,0.112,6.52,0.005,0.627,995.449,14.97,0.627,18.358,0.16,0.457,0.041,0.697,-0.821,0.825
2.45,0.894,-1.38,0.0,0.0,0.319,0.112,6.52,0.005,0.627,993.733,14.971,0.627,18.334,0.157,0.452,0.04,0.697,-0.894,1.38
2.5,0.854,-0.843,0.0,0.0,0.382,0.115,6.518,0.006,0.616,1049.144,14.571,0.62,18.141,0.152,0.443,0.039,0.695,-0.854,0.843
2.55,0.952,-1.441,0.0,0.0,0.32,0.117,6.518,0.006,0.61,1077.381,14.366,0.612,18.005,0.148,0.436,0.037,0.694,-0.952,1.441
2.6,0.939,-1.459,0.0,0.0,0.302,0.119,6.517,0.006,0.603,1121.148,14.081,0.604,17.796,0.143,0.428,0.036,0.693,-0.939,1.459
2.65,1.002,-1.483,0.0,0.0,0.302,0.119,6.517,0.006,0.605,1113.272,14.152,0.608,17.822,0.141,0.424,0.035,0.692,-1.002,1.483
2.7,1.011,-1.584,0.0,0.0,0.295,0.115,6.518,0.006,0.606,1055.782,14.433,0.608,17.961,0.141,0.423,0.035,0.692,-1.011,1.584
2.75,0.99,-1.597,0.0,0.0,0.281,0.113,6.517,0.006,0.622,1025.901,14.777,0.624,18.116,0.139,0.42,0.034,0.692,-0.99,1.597
2.8,0.981,-1.602,0.0,0.0,0.278,0.111,6.517,0.005,0.629,981.618,15.049,0.631,18.198,0.139,0.418,0.034,0.692,-0.981,1.602
2.85,0.98,-1.672,0.0,0.0,0.278,0.11,6.516,0.005,0.629,947.657,15.184,0.631,18.243,0.138,0.415,0.033,0.692,-0.98,1.672
2.9,0.89,-1.658,0.0,0.0,0.273,0.114,6.514,0.006,0.62,1013.266,14.736,0.62,18.042,0.133,0.406,0.032,0.69,-0.89,1.658
2.95,0.947,-1.676,0.0,0.0,0.262,0.117,6.514,0.006,0.609,1070.524,14.321,0.612,17.804,0.128,0.398,0.031,0.689,-0.947,1.676
3.0,0.952,-1.751,0.0,0.0,0.264,0.117,6.514,0.006,0.609,1073.166,14.318,0.612,17.782,0.126,0.393,0.03,0.688,-0.952,1.751
-3.0,-1.211,0.383,0.0,0.0,0.37,0.121,6.754,0.008,0.654,1922.389,14.64,0.667,16.856,0.107,0.376,0.022,0.711,1.211,-0.383
-2.95,-0.312,0.086,0.0,0.0,0.427,0.121,6.753,0.007,0.66,1906.372,14.761,0.671,16.862,0.107,0.38,0.023,0.712,0.312,-0.086
-2.9,-0.329,0.074,0.0,0.0,0.438,0.119,6.754,0.007,0.652,1845.098,14.813,0.663,16.978,0.11,0.385,0.023,0.713,0.329,-0.074
-2.85,-1.191,0.37,0.0,0.0,0.398,0.119,6.755,0.007,0.652,1860.332,14.806,0.663,16.989,0.11,0.388,0.024,0.713,1.191,-0.37
-2.8,-1.183,0.358,0.0,0.0,0.405,0.119,6.756,0.007,0.638,1887.181,14.565,0.651,16.98,0.111,0.391,0.024,0.714,1.183,-0.358
-2.75,-1.184,0.369,0.0,0.0,0.414,0.12,6.756,0.007,0.654,1906.478,14.741,0.667,16.974,0.111,0.394,0.025,0.714,1.184,-0.369
-2.7,-1.159,0.363,0.0,0.0,0.43,0.12,6.756,0.007,0.657,1916.726,14.74,0.667,16.964,0.112,0.397,0.026,0.715,1.159,-0.363
-2.65,-0.375,0.059,0.0,0.0,0.493,0.12,6.754,0.007,0.661,1899.447,14.808,0.675,16.962,0.113,0.401,0.026,0.716,0.375,-0.059
-2.6,-1.125,0.399,0.0,0.0,0.453,0.119,6.754,0.007,0.651,1861.46,14.758,0.663,17.067,0.114,0.405,0.027,0.716,1.125,-0.399
-2.55,-1.107,0.037,0.0,0.0,0.515,0.119,6.754,0.007,0.657,1848.188,14.869,0.667,17.08,0.116,0.409,0.028,0.717,1.107,-0.037
-2.5,-1.092,0.027,0.0,0.0,0.523,0.118,6.755,0.007,0.651,1822.747,14.865,0.663,17.153,0.117,0.415,0.029,0.718,1.092,-0.027
-2.45,-0.365,0.007,0.0,0.0,0.547,0.121,6.756,0.008,0.663,1943.243,14.744,0.675,16.989,0.116,0.416,0.029,0.72,0.365,-0.007
-2.4,-1.062,0.409,0.0,0.0,0.496,0.121,6.756,0.008,0.663,1945.893,14.742,0.675,17.011,0.118,0.42,0.03,0.721,1.062,-0.409
-2.35,-1.026,0.419,0.0,0.0,0.508,0.119,6.755,0.007,0.661,1856.191,14.919,0.671,17.138,0.121,0.427,0.032,0.722,1.026,-0.419
-2.3,-1.016,0.409,0.0,0.0,0.517,0.118,6.754,0.007,0.654,1817.246,14.874,0.667,17.233,0.124,0.433,0.033,0.723,1.016,-0.409
-2.25,-0.985,0.418,0.0,0.0,0.532,0.119,6.752,0.007,0.649,1843.051,14.712,0.663,17.229,0.125,0.437,0.034,0.724,0.985,-0.418
-2.2,-0.967,0.411,0.0,0.0,0.543,0.121,6.752,0.007,0.654,1893.472,14.653,0.667,17.191,0.127,0.441,0.035,0.726,0.967,-0.411
-2.15,-0.933,0.045,0.0,0.0,0.591,0.123,6.754,0.008,0.656,1978.884,14.524,0.667,17.125,0.128,0.446,0.036,0.727,0.933,-0.045
-2.1,-0.913,0.071,0.0,0.0,0.605,0.12,6.756,0.007,0.641,1883.107,14.574,0.651,17.299,0.132,0.454,0.037,0.728,0.913,-0.071
-2.05,-0.889,0.408,0.0,0.0,0.579,0.12,6.757,0.007,0.648,1917.654,14.621,0.659,17.308,0.134,0.46,0.039,0.73,0.889,-0.408
-2.0,-0.861,0.066,0.0,0.0,0.632,0.121,6.758,0.008,0.637,1939.664,14.439,0.647,17.305,0.136,0.466,0.04,0.732,0.861,-0.066
-1.95,-0.838,0.068,0.0,0.0,0.647,0.118,6.758,0.007,0.643,1833.759,14.741,0.655,17.459,0.14,0.474,0.042,0.734,0.838,-0.068
-1.9,-0.806,0.077,0.0,0.0,0.659,0.118,6.755,0.007,0.637,1822.786,14.636,0.647,17.47,0.143,0.481,0.043,0.736,0.806,-0.077
-1.85,-0.788,0.072,0.0,0.0,0.669,0.117,6.753,0.007,0.625,1785.342,14.526,0.635,17.447,0.146,0.488,0.045,0.737,0.788,-0.072
-1.8,-0.765,0.068,0.0,0.0,0.681,0.116,6.753,0.007,0.641,1751.143,14.821,0.651,17.613,0.149,0.496,0.047,0.739,0.765,-0.068
